"wrestler_name","wrestler_rank","wrestler_matches","wrestler_wins","wrestler_losses","wrestler_draws"
"Ben Jordan","74","17","0","17","0"
"Gary Scott","75","17","0","17","0"
"Heidi Lee Morgan","76","15","5","10","0"
"Koko B. Ware","77","15","4","11","0"
"Mike Khoury","78","15","0","15","0"
"Rich Myers","79","15","0","15","0"
"Mike Maraldo","80","14","0","14","0"
"The Barbarian","81","14","1","13","0"
"Johnny Polo","82","13","1","12","0"
"Ludvig Borga","83","13","3","9","1"
"The Black Phantom","84","13","0","13","0"
"Tony Roy","85","13","0","13","0"
"Chris Kanyon","86","12","0","12","0"
"Cory Student","87","12","0","12","0"
"Derek Domino","88","12","0","12","0"
"Austin Steele","89","11","0","11","0"
"George South","90","11","0","11","0"
"Tim McNeany","91","11","0","11","0"
"Dink","92","10","7","3","0"
"Gary Sabough","93","10","0","10","0"
"Louie Spicolli","94","10","0","10","0"
"Bert Centeno","95","9","0","9","0"
"John Chrystal","96","9","0","9","0"
"Chris Hamrick","97","8","0","8","0"
"Henry O. Godwinn","98","8","8","0","0"
"Nick Barberi","99","8","0","8","0"
"Ray Hudson","100","8","0","8","0"
"Owen Hart","1","171","72","94","5"
"Razor Ramon","2","170","125","39","6"
"The British Bulldog","3","162","84","68","10"
"Bret Hart","4","150","138","8","4"
"Hakushi","5","148","89","59","0"
"Diesel","6","143","119","21","3"
"The Undertaker","7","138","125","10","3"
"Billy Gunn","8","137","119","16","2"
"Bart Gunn","9","136","118","16","2"
"Kama","10","132","43","87","2"
"Shawn Michaels","11","124","103","16","5"
"Henry O. Godwinn","12","123","60","55","8"
"Bob Holly","13","116","34","82","0"
"Fatu","14","115","56","44","15"
"The 1-2-3 Kid","15","115","56","59","0"
"Yokozuna","16","114","49","63","2"
"Bam Bam Bigelow","17","113","57","54","2"
"Sid","18","108","31","76","1"
"Savio Vega","19","106","86","17","3"
"Skip","20","106","51","54","1"
"Jeff Jarrett","21","104","27","76","1"
"Aldo Montoya","22","101","30","70","1"
"Hunter Hearst Helmsley","23","99","81","15","3"
"Lex Luger","24","96","59","30","7"
"Eli Blu","25","95","43","45","7"
"Jacob Blu","26","93","42","44","7"
"Jean-Pierre LaFitte","27","93","73","18","2"
"Tatanka","28","93","20","66","7"
"Barry Horowitz","29","91","29","62","0"
"Bob Backlund","30","82","35","46","1"
"Adam Bomb","31","80","52","25","3"
"Rad Radford","32","80","15","65","0"
"King Kong Bundy","33","77","36","39","2"
"Alundra Blayze","34","73","35","38","0"
"Duke Droese","35","73","31","42","0"
"King Mabel","36","67","16","49","2"
"Isaac Yankem DDS","37","61","19","42","0"
"Man Mountain Rock","38","61","41","20","0"
"Bertha Faye","39","54","23","31","0"
"Doink","40","52","18","33","1"
"Mabel","41","49","36","12","1"
"Goldust","42","48","46","2","0"
"The Brooklyn Brawler","43","48","1","47","0"
"Sionne","44","46","8","31","7"
"Tom Prichard","45","45","6","38","1"
"Marty Jannetty","46","42","14","27","1"
"Waylon Mercy","47","42","29","5","8"
"Jimmy del Ray","48","39","5","33","1"
"Ahmed Johnson","49","38","38","0","0"
"Mantaur","50","37","14","23","0"
"Mo","51","37","26","10","1"
"Sir Mo","52","37","5","31","1"
"Kwang","53","34","5","29","0"
"Dean Douglas","54","31","14","16","1"
"Irwin R. Schyster","55","29","2","27","0"
"Butch","56","23","14","9","0"
"Luke","57","23","14","9","0"
"Mike Bell","58","23","0","23","0"
"Jerry Lawler","59","21","5","16","0"
"Timothy Well","60","21","0","21","0"
"Steven Dunn","61","20","0","20","0"
"Bull Nakano","62","18","16","2","0"
"Scott Taylor","63","17","0","17","0"
"The Roadie","64","16","9","7","0"
"Troy","65","15","14","1","0"
"Bill Payne","66","14","0","14","0"
"Bob Cook","67","14","0","14","0"
"Gary Scott","68","14","1","13","0"
"Tony DeVito","69","14","0","14","0"
"Travis","70","14","14","0","0"
"Buck Quartermain","71","13","1","12","0"
"Jason Ahrndt","72","13","0","13","0"
"The Black Phantom","73","13","0","13","0"
"John Chrystal","74","12","0","12","0"
"Brian Walsh","75","10","0","10","0"
"Matt Hardy","76","10","0","10","0"
"Mike Khoury","77","10","0","10","0"
"Nick Barberi","78","10","0","10","0"
"Sycho Sid","79","9","0","9","0"
"Jeff Hardy","80","8","1","7","0"
"Jerry Flynn","81","8","0","8","0"
"Leroy Howard","82","8","0","8","0"
"Sonny Rogers","83","8","1","7","0"
"Tony Roy","84","8","1","7","0"
"Phil Apollo","85","7","0","7","0"
"Reno Riggins","86","7","0","7","0"
"Tim McNeany","87","7","0","7","0"
"AC Conner","88","6","0","6","0"
"Bert Centeno","89","6","0","6","0"
"Charlie Hunter","90","6","0","6","0"
"David Haskins","91","6","0","6","0"
"Ken Raper","92","6","0","6","0"
"Kenny Kendall","93","6","0","6","0"
"Mark Starr","94","6","0","6","0"
"Reginald Walker","95","6","0","6","0"
"Virgil","96","6","0","6","0"
"Avatar","97","5","4","1","0"
"Ben Jordan","98","5","0","5","0"
